track,duration_sec,loudness_LUFS,spectral_centroid_Hz,transient_density,spectral_flatness,lexical_diversity,readability,sentiment
_Slut!_ (Taylor's Version) (From The Vault).wav,185.8060625,-22.7672145140198,1247.91117447341,4.33247435077636,0.043176197,0.387715930902111,22.2208854961832,0.553696215152741
All You Had To Do Was Stay (Taylor's Version).wav,198.4145,-18.3182712623613,2272.97548819575,5.56914943212316,0.07487732,0.225185185185185,23.2464929891651,-0.933746337890625
Bad Blood (Taylor's Version).wav,216.2706875,-19.5472030504593,1991.38474033697,4.73943099663009,0.0655775,0.261380323054332,31.2851905626135,-0.992812931537628
Blank Space (Taylor's Version).wav,237.0293125,-19.3668051760113,2220.8784518471,3.00384788906646,0.0861566,0.333800841514727,40.750813771518,0.987712204456329
Clean (Taylor's Version).wav,276.5264375,-19.961816182968,1187.00534583682,3.92729176211226,0.031940095,0.382222222222222,-91.6521739130435,-0.995270788669586
How You Get The Girl (Taylor's Version).wav,252.6563125,-18.7108202195956,2107.98089309152,3.72046908584562,0.08015079,0.245901639344262,-12.1475,-0.993930220603943
I Know Places (Taylor's Version).wav,200.8758125,-18.5663877913066,1986.84543608345,3.858105116563,0.070166305,0.349272349272349,-88.8764024390244,-0.963288724422455
I Wish You Would (Taylor's Version).wav,212.7876875,-18.644300087315,2027.0680825062,4.4034502701196,0.0802851,0.180761099365751,-133.484578754579,0.85884702205658
Is It Over Now_ (Taylor's Version) (From The Vault).wav,234.6144375,-19.3717772615693,1513.58769576463,3.11575028284438,0.050251886,0.330733229329173,68.1961764705883,0.975851655006409
New Romantics (Taylor's Version).wav,235.311,-18.9280370701106,2182.33076769639,3.90971947762748,0.09428992,0.299524564183835,-75.8077245508982,0.982020974159241
Now That We Don't Talk (Taylor's Version) (From The Vault).wav,151.556625,-20.1561695034961,1337.1020154532,5.01462737112284,0.055047937,0.48661800486618,15.9995907079646,0.991964101791382
Out Of The Woods (Taylor's Version).wav,241.1856875,-18.9209335705765,1806.80694553681,2.34673958420522,0.061508134,0.186558516801854,99.0020186482021,0.920092046260834
Say Don't Go (Taylor's Version) (From The Vault).wav,285.3500625,-19.7511705251593,1422.14072310364,3.739266747138,0.036024123,0.230179028132992,75.9427122226136,0.993217766284943
Shake It Off (Taylor's Version).wav,224.1886875,-18.7108890001588,2117.93896496016,2.78336970057867,0.08405912,0.208428246013667,-102.209756097561,0.98199987411499
Style (Taylor's Version).wav,235.5664375,-17.0386768201305,1776.47700604223,7.27183387489145,0.05148734,0.35632183908046,-118.399315068493,0.978810548782349
Suburban Legends (Taylor's Version) (From The Vault).wav,177.0521875,-20.1554725311576,1372.99548363885,4.98723010694234,0.04662393,0.461346633416459,-28.8417796610169,0.999552071094513
This Love (Taylor_s Version).wav,247.5711875,-21.208100232716,1722.65540366559,4.04732073274884,0.018307686,0.273851590106007,-114.825833333333,0.978881478309631
Welcome To New York (Taylor's Version).wav,217.7335,-18.470156578457,1962.9672159725,2.25505032528297,0.061587576,0.289256198347107,-38.9337111670865,-0.984897434711456
Wildest Dreams (Taylor's Version).wav,226.0230625,-20.113500594942,1550.04903850662,2.6767180008456,0.05256293,0.346666666666667,-39.6505882352941,0.880178570747376
Wonderland (Taylor's Version).wav,250.682625,-19.212773669785,2145.74112238135,4.35211654577177,0.06851167,0.281831187410587,49.4936363636364,-0.897227346897125
You Are In Love (Taylor's Version).wav,272.509375,-21.7586461837434,1474.77548711931,2.93200921986629,0.04927536,0.307438016528926,-48.6616666666667,-0.996085047721863
